table,field,table_in_schema,field_in_schema,field_type,field_length
sp0053(业务与技术-主要产品及业务的收入情况),createtime,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),f001Sp0053,业务与技术-主要产品及业务的收入情况,项目(名称/类型),varchar(100),100
sp0053(业务与技术-主要产品及业务的收入情况),stamp,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),uuid,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),f002Sp0053,业务与技术-主要产品及业务的收入情况,收入金额,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),f003Sp0053Org,业务与技术-主要产品及业务的收入情况,占收入比例原文,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),reportType,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),sourceUrl,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),contextref,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),pageIndex,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),accountingYear,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),f002Sp0053Crt,业务与技术-主要产品及业务的收入情况,收入金额币种,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),f003Sp0053,业务与技术-主要产品及业务的收入情况,占收入比例,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),f002Sp0053Org,业务与技术-主要产品及业务的收入情况,收入金额原文,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),f002Sp0053Unit,业务与技术-主要产品及业务的收入情况,收入金额原文单位,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),dataYear,业务与技术-主要产品及业务的收入情况,年度,varchar(50),50
sp0057(业务与技术-专业资质情况),f002Sp0057,业务与技术-专业资质情况,资质名称,varchar(500),500
sp0057(业务与技术-专业资质情况),f008Sp0057,业务与技术-专业资质情况,批件号,varchar(50),50
sp0057(业务与技术-专业资质情况),createtime,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),stamp,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),f006Sp0057,业务与技术-专业资质情况,颁发机构,varchar(200),200
sp0057(业务与技术-专业资质情况),uuid,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),f001Sp0057,业务与技术-专业资质情况,资质类型,varchar(200),200
sp0057(业务与技术-专业资质情况),reportType,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),sourceUrl,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),f005Sp0057,业务与技术-专业资质情况,有效期,varchar(200),200
sp0057(业务与技术-专业资质情况),contextref,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),pageIndex,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),accountingYear,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),f004Sp0057,业务与技术-专业资质情况,发证时间,varchar(50),50
sp0057(业务与技术-专业资质情况),f007Sp0057,业务与技术-专业资质情况,证书编号,varchar(500),500
sp0057(业务与技术-专业资质情况),f003Sp0057,业务与技术-专业资质情况,持有人,varchar(300),300
sp0057(业务与技术-专业资质情况),dataYear,业务与技术-专业资质情况,年度,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),createtime,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),f002Sp0026,业务与技术-核心技术产品占营业收入比例,核心技术收入占营业收入比例,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),f001Sp0026,业务与技术-核心技术产品占营业收入比例,核心技术收入,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),stamp,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),f002Sp0026Org,业务与技术-核心技术产品占营业收入比例,核心技术收入占营业收入比例原文,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),f001Sp0026Unit,业务与技术-核心技术产品占营业收入比例,核心技术收入原文单位,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),f001Sp0026Crt,业务与技术-核心技术产品占营业收入比例,核心技术收入币种,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),uuid,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),f001Sp0026Org,业务与技术-核心技术产品占营业收入比例,核心技术收入原文,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),reportType,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),sourceUrl,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),contextref,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),pageIndex,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),accountingYear,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),f003Sp0026Org,业务与技术-核心技术产品占营业收入比例,核心技术收入占主营业务收入比例原文,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),f003Sp0026,业务与技术-核心技术产品占营业收入比例,核心技术收入占主营业务收入比例,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),dataYear,业务与技术-核心技术产品占营业收入比例,年度,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f013Sp0033Org,本次发行概况-发行概况（三）,预测净利润原文,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f007Sp0033,本次发行概况-发行概况（三）,股东公开发售股份数量,varchar(800),800
sp0033(本次发行概况-发行概况（三）),f013Sp0033Crt,本次发行概况-发行概况（三）,预测净利润币种,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f017Sp0033Unit,本次发行概况-发行概况（三）,发行后每股净资产原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f020Sp0033,本次发行概况-发行概况（三）,发行对象,varchar(600),600
sp0033(本次发行概况-发行概况（三）),f002Sp0033Unit,本次发行概况-发行概况（三）,每股面值原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f017Sp0033,本次发行概况-发行概况（三）,发行后每股净资产,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f004Sp0033Org,本次发行概况-发行概况（三）,发行股数占发行后总股本比例原文,varchar(300),300
sp0033(本次发行概况-发行概况（三）),f013Sp0033Unit,本次发行概况-发行概况（三）,预测净利润原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),uuid,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f016Sp0033Org,本次发行概况-发行概况（三）,发行前每股净资产原文,varchar(300),300
sp0033(本次发行概况-发行概况（三）),reportType,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),sourceUrl,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f014Sp0033,本次发行概况-发行概况（三）,发行前每股收益,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f003Sp0033Up,本次发行概况-发行概况（三）,发行股数上限,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f009Sp0033Unit,本次发行概况-发行概况（三）,每股发行价格原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f004Sp0033,本次发行概况-发行概况（三）,发行股数占发行后总股本比例（不含超额配售）,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f011Sp0033,本次发行概况-发行概况（三）,保荐人相关子公司拟参与战略配售情况,varchar(400),400
sp0033(本次发行概况-发行概况（三）),f017Sp0033Org,本次发行概况-发行概况（三）,发行后每股净资产原文,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f012Sp0033Org,本次发行概况-发行概况（三）,标明计算基础和口径的市盈率原文,varchar(400),400
sp0033(本次发行概况-发行概况（三）),f006Sp0033,本次发行概况-发行概况（三）,发行新股数量占发行后总股本比例,varchar(100),100
sp0033(本次发行概况-发行概况（三）),f015Sp0033,本次发行概况-发行概况（三）,发行后每股收益,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f023Sp0033,本次发行概况-发行概况（三）,拟公开发售股份的股东持股数量,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f018Sp0033Org,本次发行概况-发行概况（三）,标明计算基础和口径的市净率原文,varchar(300),300
sp0033(本次发行概况-发行概况（三）),f016Sp0033Unit,本次发行概况-发行概况（三）,发行前每股净资产原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f018Sp0033,本次发行概况-发行概况（三）,标明计算基础和口径的市净率,varchar(300),300
sp0033(本次发行概况-发行概况（三）),f002Sp0033,本次发行概况-发行概况（三）,每股面值,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f012Sp0033,本次发行概况-发行概况（三）,标明计算基础和口径的市盈率,varchar(300),300
sp0033(本次发行概况-发行概况（三）),f015Sp0033Unit,本次发行概况-发行概况（三）,发行后每股收益原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f009Sp0033,本次发行概况-发行概况（三）,每股发行价格,varchar(50),50
sp0033(本次发行概况-发行概况（三）),stamp,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f022Sp0033,本次发行概况-发行概况（三）,拟公开发售股份的股东名称,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f002Sp0033Org,本次发行概况-发行概况（三）,每股面值原文,varchar(50),50
sp0033(本次发行概况-发行概况（三）),contextref,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f002Sp0033Crt,本次发行概况-发行概况（三）,每股面值币种,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f019Sp0033,本次发行概况-发行概况（三）,发行方式,varchar(500),500
sp0033(本次发行概况-发行概况（三）),f014Sp0033Org,本次发行概况-发行概况（三）,发行前每股收益原文,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f021Sp0033,本次发行概况-发行概况（三）,承销方式,varchar(100),100
sp0033(本次发行概况-发行概况（三）),createtime,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f003Sp0033Lower,本次发行概况-发行概况（三）,发行股数下限,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f014Sp0033Unit,本次发行概况-发行概况（三）,发行前每股收益原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f016Sp0033,本次发行概况-发行概况（三）,发行前每股净资产,varchar(300),300
sp0033(本次发行概况-发行概况（三）),f001Sp0033,本次发行概况-发行概况（三）,股票种类,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f003Sp0033Org,本次发行概况-发行概况（三）,发行股数原文,varchar(600),600
sp0033(本次发行概况-发行概况（三）),f005Sp0033,本次发行概况-发行概况（三）,发行新股数量,varchar(200),200
sp0033(本次发行概况-发行概况（三）),pageIndex,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f015Sp0033Org,本次发行概况-发行概况（三）,发行后每股收益原文,varchar(200),200
sp0033(本次发行概况-发行概况（三）),accountingYear,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f009Sp0033Crt,本次发行概况-发行概况（三）,每股发行价格币种,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f009Sp0033Org,本次发行概况-发行概况（三）,每股发行价格原文,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f010Sp0033,本次发行概况-发行概况（三）,发行人高管、员工拟参与战略配售情况,varchar(600),600
sp0033(本次发行概况-发行概况（三）),f013Sp0033,本次发行概况-发行概况（三）,预测净利润,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f008Sp0033,本次发行概况-发行概况（三）,股东公开发售股份数量占发行后总股本的比例,varchar(600),600
sp0033(本次发行概况-发行概况（三）),dataYear,本次发行概况-发行概况（三）,年度,varchar(50),50
sp0040(发行人基本情况-分支机构基本情况),f001Sp0040,发行人基本情况-分支机构基本情况,公司名称,varchar(100),100
sp0040(发行人基本情况-分支机构基本情况),createtime,发行人基本情况-分支机构基本情况,set_default_none,,
sp0040(发行人基本情况-分支机构基本情况),stamp,发行人基本情况-分支机构基本情况,set_default_none,,
sp0040(发行人基本情况-分支机构基本情况),uuid,发行人基本情况-分支机构基本情况,set_default_none,,
sp0040(发行人基本情况-分支机构基本情况),f002Sp0040,发行人基本情况-分支机构基本情况,成立时间,varchar(50),50
sp0040(发行人基本情况-分支机构基本情况),reportType,发行人基本情况-分支机构基本情况,set_default_none,,
sp0040(发行人基本情况-分支机构基本情况),sourceUrl,发行人基本情况-分支机构基本情况,set_default_none,,
sp0040(发行人基本情况-分支机构基本情况),f004Sp0040,发行人基本情况-分支机构基本情况,经营范围,varchar(600),600
sp0040(发行人基本情况-分支机构基本情况),contextref,发行人基本情况-分支机构基本情况,set_default_none,,
sp0040(发行人基本情况-分支机构基本情况),pageIndex,发行人基本情况-分支机构基本情况,set_default_none,,
sp0040(发行人基本情况-分支机构基本情况),f005Sp0040,发行人基本情况-分支机构基本情况,公司状态,varchar(50),50
sp0040(发行人基本情况-分支机构基本情况),f003Sp0040,发行人基本情况-分支机构基本情况,住所,varchar(200),200
sp0040(发行人基本情况-分支机构基本情况),accountingYear,发行人基本情况-分支机构基本情况,set_default_none,,
sp0040(发行人基本情况-分支机构基本情况),dataYear,发行人基本情况-分支机构基本情况,年度,varchar(50),50
sp0021(本次发行概况-相关机构-保荐人律师事务所),createtime,本次发行概况-相关机构-保荐人律师事务所,set_default_none,,
sp0021(本次发行概况-相关机构-保荐人律师事务所),f002Sp0021,本次发行概况-相关机构-保荐人律师事务所,负责人,varchar(50),50
sp0021(本次发行概况-相关机构-保荐人律师事务所),f001Sp0021,本次发行概况-相关机构-保荐人律师事务所,名称,varchar(50),50
sp0021(本次发行概况-相关机构-保荐人律师事务所),f007Sp0021,本次发行概况-相关机构-保荐人律师事务所,法定代表人,varchar(50),50
sp0021(本次发行概况-相关机构-保荐人律师事务所),stamp,本次发行概况-相关机构-保荐人律师事务所,set_default_none,,
sp0021(本次发行概况-相关机构-保荐人律师事务所),uuid,本次发行概况-相关机构-保荐人律师事务所,set_default_none,,
sp0021(本次发行概况-相关机构-保荐人律师事务所),f006Sp0021,本次发行概况-相关机构-保荐人律师事务所,经办律师,varchar(50),50
sp0021(本次发行概况-相关机构-保荐人律师事务所),reportType,本次发行概况-相关机构-保荐人律师事务所,set_default_none,,
sp0021(本次发行概况-相关机构-保荐人律师事务所),sourceUrl,本次发行概况-相关机构-保荐人律师事务所,set_default_none,,
sp0021(本次发行概况-相关机构-保荐人律师事务所),contextref,本次发行概况-相关机构-保荐人律师事务所,set_default_none,,
sp0021(本次发行概况-相关机构-保荐人律师事务所),pageIndex,本次发行概况-相关机构-保荐人律师事务所,set_default_none,,
sp0021(本次发行概况-相关机构-保荐人律师事务所),f005Sp0021,本次发行概况-相关机构-保荐人律师事务所,传真,varchar(50),50
sp0021(本次发行概况-相关机构-保荐人律师事务所),accountingYear,本次发行概况-相关机构-保荐人律师事务所,set_default_none,,
sp0021(本次发行概况-相关机构-保荐人律师事务所),f003Sp0021,本次发行概况-相关机构-保荐人律师事务所,住所,varchar(100),100
sp0021(本次发行概况-相关机构-保荐人律师事务所),f004Sp0021,本次发行概况-相关机构-保荐人律师事务所,联系电话,varchar(50),50
sp0021(本次发行概况-相关机构-保荐人律师事务所),dataYear,本次发行概况-相关机构-保荐人律师事务所,年度,varchar(50),50
sp0062(公司治理与独立性-发行人协议控制架构情况),reportType,公司治理与独立性-发行人协议控制架构情况,set_default_none,,
sp0062(公司治理与独立性-发行人协议控制架构情况),sourceUrl,公司治理与独立性-发行人协议控制架构情况,set_default_none,,
sp0062(公司治理与独立性-发行人协议控制架构情况),f001Sp0062,公司治理与独立性-发行人协议控制架构情况,是否存在协议控制架构,varchar(50),50
sp0062(公司治理与独立性-发行人协议控制架构情况),createtime,公司治理与独立性-发行人协议控制架构情况,set_default_none,,
sp0062(公司治理与独立性-发行人协议控制架构情况),contextref,公司治理与独立性-发行人协议控制架构情况,set_default_none,,
sp0062(公司治理与独立性-发行人协议控制架构情况),pageIndex,公司治理与独立性-发行人协议控制架构情况,set_default_none,,
sp0062(公司治理与独立性-发行人协议控制架构情况),accountingYear,公司治理与独立性-发行人协议控制架构情况,set_default_none,,
sp0062(公司治理与独立性-发行人协议控制架构情况),stamp,公司治理与独立性-发行人协议控制架构情况,set_default_none,,
sp0062(公司治理与独立性-发行人协议控制架构情况),uuid,公司治理与独立性-发行人协议控制架构情况,set_default_none,,
sp0062(公司治理与独立性-发行人协议控制架构情况),f002Sp0062,公司治理与独立性-发行人协议控制架构情况,发行人协议控制架构情况（原文）,varchar(2048),2048
sp0062(公司治理与独立性-发行人协议控制架构情况),dataYear,公司治理与独立性-发行人协议控制架构情况,年度,varchar(50),50
sp0076(财务会计信息-研发费用细分情况),createtime,财务会计信息-研发费用细分情况,set_default_none,,
sp0076(财务会计信息-研发费用细分情况),f002Sp0076,财务会计信息-研发费用细分情况,项目研发费用,varchar(50),50
sp0076(财务会计信息-研发费用细分情况),f001Sp0076,财务会计信息-研发费用细分情况,项目名称(产品/类型),varchar(50),50
sp0076(财务会计信息-研发费用细分情况),f002Sp0076Unit,财务会计信息-研发费用细分情况,项目研发费用原文单位,varchar(50),50
sp0076(财务会计信息-研发费用细分情况),stamp,财务会计信息-研发费用细分情况,set_default_none,,
sp0076(财务会计信息-研发费用细分情况),uuid,财务会计信息-研发费用细分情况,set_default_none,,
sp0076(财务会计信息-研发费用细分情况),reportType,财务会计信息-研发费用细分情况,set_default_none,,
sp0076(财务会计信息-研发费用细分情况),sourceUrl,财务会计信息-研发费用细分情况,set_default_none,,
sp0076(财务会计信息-研发费用细分情况),contextref,财务会计信息-研发费用细分情况,set_default_none,,
sp0076(财务会计信息-研发费用细分情况),pageIndex,财务会计信息-研发费用细分情况,set_default_none,,
sp0076(财务会计信息-研发费用细分情况),f003Sp0076Org,财务会计信息-研发费用细分情况,占研发费用比原文,varchar(50),50
sp0076(财务会计信息-研发费用细分情况),accountingYear,财务会计信息-研发费用细分情况,set_default_none,,
sp0076(财务会计信息-研发费用细分情况),f002Sp0076Crt,财务会计信息-研发费用细分情况,项目研发费用币种,varchar(50),50
sp0076(财务会计信息-研发费用细分情况),f003Sp0076,财务会计信息-研发费用细分情况,占研发费用比,varchar(50),50
sp0076(财务会计信息-研发费用细分情况),f002Sp0076Org,财务会计信息-研发费用细分情况,项目研发费用原文,varchar(50),50
sp0076(财务会计信息-研发费用细分情况),dataYear,财务会计信息-研发费用细分情况,年度,varchar(50),50
sp0043(发行人基本情况-前十股东),createtime,发行人基本情况-前十股东,set_default_none,,
sp0043(发行人基本情况-前十股东),f002Sp0043,发行人基本情况-前十股东,股东名称,varchar(100),100
sp0043(发行人基本情况-前十股东),f001Sp0043,发行人基本情况-前十股东,股东序号,varchar(10),10
sp0043(发行人基本情况-前十股东),stamp,发行人基本情况-前十股东,set_default_none,,
sp0043(发行人基本情况-前十股东),f003Sp0043Unit,发行人基本情况-前十股东,股东持股数量原文单位,varchar(50),50
sp0043(发行人基本情况-前十股东),uuid,发行人基本情况-前十股东,set_default_none,,
sp0043(发行人基本情况-前十股东),reportType,发行人基本情况-前十股东,set_default_none,,
sp0043(发行人基本情况-前十股东),sourceUrl,发行人基本情况-前十股东,set_default_none,,
sp0043(发行人基本情况-前十股东),contextref,发行人基本情况-前十股东,set_default_none,,
sp0043(发行人基本情况-前十股东),pageIndex,发行人基本情况-前十股东,set_default_none,,
sp0043(发行人基本情况-前十股东),f004Sp0043Org,发行人基本情况-前十股东,股东持股比例原文,varchar(50),50
sp0043(发行人基本情况-前十股东),accountingYear,发行人基本情况-前十股东,set_default_none,,
sp0043(发行人基本情况-前十股东),f003Sp0043,发行人基本情况-前十股东,股东持股数量,varchar(50),50
sp0043(发行人基本情况-前十股东),f003Sp0043Org,发行人基本情况-前十股东,股东持股数量原文,varchar(50),50
sp0043(发行人基本情况-前十股东),f004Sp0043,发行人基本情况-前十股东,股东持股比例,varchar(50),50
sp0043(发行人基本情况-前十股东),dataYear,发行人基本情况-前十股东,年度,varchar(50),50
sp0061(公司治理与独立性-发行人特别表决权股份情况),reportType,公司治理与独立性-发行人特别表决权股份情况,set_default_none,,
sp0061(公司治理与独立性-发行人特别表决权股份情况),sourceUrl,公司治理与独立性-发行人特别表决权股份情况,set_default_none,,
sp0061(公司治理与独立性-发行人特别表决权股份情况),createtime,公司治理与独立性-发行人特别表决权股份情况,set_default_none,,
sp0061(公司治理与独立性-发行人特别表决权股份情况),contextref,公司治理与独立性-发行人特别表决权股份情况,set_default_none,,
sp0061(公司治理与独立性-发行人特别表决权股份情况),pageIndex,公司治理与独立性-发行人特别表决权股份情况,set_default_none,,
sp0061(公司治理与独立性-发行人特别表决权股份情况),f001Sp0061,公司治理与独立性-发行人特别表决权股份情况,是否存在特别表决权股份,varchar(50),50
sp0061(公司治理与独立性-发行人特别表决权股份情况),accountingYear,公司治理与独立性-发行人特别表决权股份情况,set_default_none,,
sp0061(公司治理与独立性-发行人特别表决权股份情况),stamp,公司治理与独立性-发行人特别表决权股份情况,set_default_none,,
sp0061(公司治理与独立性-发行人特别表决权股份情况),uuid,公司治理与独立性-发行人特别表决权股份情况,set_default_none,,
sp0061(公司治理与独立性-发行人特别表决权股份情况),f002Sp0061,公司治理与独立性-发行人特别表决权股份情况,特别表决权股份情况（原文）,varchar(2000),2000
sp0061(公司治理与独立性-发行人特别表决权股份情况),dataYear,公司治理与独立性-发行人特别表决权股份情况,年度,varchar(50),50
sp0023(业务与技术-前五客户),f002Sp0023,业务与技术-前五客户,客户名称,varchar(1000),1000
sp0023(业务与技术-前五客户),createtime,业务与技术-前五客户,set_default_none,,
sp0023(业务与技术-前五客户),f004Sp0023Org,业务与技术-前五客户,占营业收入的比例原文,varchar(50),50
sp0023(业务与技术-前五客户),stamp,业务与技术-前五客户,set_default_none,,
sp0023(业务与技术-前五客户),uuid,业务与技术-前五客户,set_default_none,,
sp0023(业务与技术-前五客户),f001Sp0023,业务与技术-前五客户,序号,varchar(50),50
sp0023(业务与技术-前五客户),reportType,业务与技术-前五客户,set_default_none,,
sp0023(业务与技术-前五客户),sourceUrl,业务与技术-前五客户,set_default_none,,
sp0023(业务与技术-前五客户),f005Sp0023,业务与技术-前五客户,销售产品/类型,varchar(300),300
sp0023(业务与技术-前五客户),f003Sp0023Unit,业务与技术-前五客户,销售金额原文单位,varchar(50),50
sp0023(业务与技术-前五客户),contextref,业务与技术-前五客户,set_default_none,,
sp0023(业务与技术-前五客户),pageIndex,业务与技术-前五客户,set_default_none,,
sp0023(业务与技术-前五客户),accountingYear,业务与技术-前五客户,set_default_none,,
sp0023(业务与技术-前五客户),f003Sp0023,业务与技术-前五客户,销售金额,varchar(50),50
sp0023(业务与技术-前五客户),f004Sp0023,业务与技术-前五客户,占营业收入的比例,varchar(50),50
sp0023(业务与技术-前五客户),f003Sp0023Crt,业务与技术-前五客户,销售金额币种,varchar(50),50
sp0023(业务与技术-前五客户),f003Sp0023Org,业务与技术-前五客户,销售金额原文,varchar(50),50
sp0023(业务与技术-前五客户),dataYear,业务与技术-前五客户,年度,varchar(50),50
sp0025(发行人基本情况-员工持股平台),reportType,发行人基本情况-员工持股平台,set_default_none,,
sp0025(发行人基本情况-员工持股平台),sourceUrl,发行人基本情况-员工持股平台,set_default_none,,
sp0025(发行人基本情况-员工持股平台),createtime,发行人基本情况-员工持股平台,set_default_none,,
sp0025(发行人基本情况-员工持股平台),contextref,发行人基本情况-员工持股平台,set_default_none,,
sp0025(发行人基本情况-员工持股平台),pageIndex,发行人基本情况-员工持股平台,set_default_none,,
sp0025(发行人基本情况-员工持股平台),f002Sp0025,发行人基本情况-员工持股平台,持股平台名称,varchar(300),300
sp0025(发行人基本情况-员工持股平台),accountingYear,发行人基本情况-员工持股平台,set_default_none,,
sp0025(发行人基本情况-员工持股平台),stamp,发行人基本情况-员工持股平台,set_default_none,,
sp0025(发行人基本情况-员工持股平台),f003Sp0025,发行人基本情况-员工持股平台,持股平台基本情况（原文）,varchar(2048),2048
sp0025(发行人基本情况-员工持股平台),uuid,发行人基本情况-员工持股平台,set_default_none,,
sp0025(发行人基本情况-员工持股平台),f001Sp0025,发行人基本情况-员工持股平台,是否存在员工持股平台,varchar(50),50
sp0025(发行人基本情况-员工持股平台),dataYear,发行人基本情况-员工持股平台,年度,varchar(50),50
sp0081(其他重要事项-重大诉讼),reportType,其他重要事项-重大诉讼,set_default_none,,
sp0081(其他重要事项-重大诉讼),sourceUrl,其他重要事项-重大诉讼,set_default_none,,
sp0081(其他重要事项-重大诉讼),createtime,其他重要事项-重大诉讼,set_default_none,,
sp0081(其他重要事项-重大诉讼),contextref,其他重要事项-重大诉讼,set_default_none,,
sp0081(其他重要事项-重大诉讼),pageIndex,其他重要事项-重大诉讼,set_default_none,,
sp0081(其他重要事项-重大诉讼),f001Sp0081,其他重要事项-重大诉讼,是否存在重大诉讼,varchar(50),50
sp0081(其他重要事项-重大诉讼),accountingYear,其他重要事项-重大诉讼,set_default_none,,
sp0081(其他重要事项-重大诉讼),f002Sp0081,其他重要事项-重大诉讼,重大诉讼情况（原文）,varchar(2048),2048
sp0081(其他重要事项-重大诉讼),stamp,其他重要事项-重大诉讼,set_default_none,,
sp0081(其他重要事项-重大诉讼),uuid,其他重要事项-重大诉讼,set_default_none,,
sp0081(其他重要事项-重大诉讼),dataYear,其他重要事项-重大诉讼,年度,varchar(50),50
sp0090(业务与技术-发行人参与制定的标准),createtime,业务与技术-发行人参与制定的标准,set_default_none,,
sp0090(业务与技术-发行人参与制定的标准),stamp,业务与技术-发行人参与制定的标准,set_default_none,,
sp0090(业务与技术-发行人参与制定的标准),f002Sp0090,业务与技术-发行人参与制定的标准,标准号,varchar(50),50
sp0090(业务与技术-发行人参与制定的标准),uuid,业务与技术-发行人参与制定的标准,set_default_none,,
sp0090(业务与技术-发行人参与制定的标准),reportType,业务与技术-发行人参与制定的标准,set_default_none,,
sp0090(业务与技术-发行人参与制定的标准),sourceUrl,业务与技术-发行人参与制定的标准,set_default_none,,
sp0090(业务与技术-发行人参与制定的标准),f003Sp0090,业务与技术-发行人参与制定的标准,担任角色,varchar(100),100
sp0090(业务与技术-发行人参与制定的标准),contextref,业务与技术-发行人参与制定的标准,set_default_none,,
sp0090(业务与技术-发行人参与制定的标准),pageIndex,业务与技术-发行人参与制定的标准,set_default_none,,
sp0090(业务与技术-发行人参与制定的标准),f004Sp0090,业务与技术-发行人参与制定的标准,标准类别,varchar(50),50
sp0090(业务与技术-发行人参与制定的标准),accountingYear,业务与技术-发行人参与制定的标准,set_default_none,,
sp0090(业务与技术-发行人参与制定的标准),f001Sp0090,业务与技术-发行人参与制定的标准,标准名称,varchar(300),300
sp0090(业务与技术-发行人参与制定的标准),f005Sp0090,业务与技术-发行人参与制定的标准,进展状态,varchar(50),50
sp0090(业务与技术-发行人参与制定的标准),dataYear,业务与技术-发行人参与制定的标准,年度,varchar(50),50
sp0006(概览-主要会计数据及财务指标),f009Sp0006,概览-主要会计数据及财务指标,基本每股收益,varchar(50),50
sp0006(概览-主要会计数据及财务指标),f003Sp0006,概览-主要会计数据及财务指标,资产负债率（母公司）,varchar(50),50
